time,prec,swe,empty,tmin,tmax,lat,lon,siteID,data10
20170101,0,182.88,0,-23.2166666666667,-7.76666666666667,43.88,-114.67,7470,489
20170102,2.54,182.88,0,-22.0722222222222,-10.0555555555556,43.88,-114.67,7470,489
20170103,2.54,185.42,0,-16.35,-8.91111111111111,43.88,-114.67,7470,489
20170104,2.54,187.96,0,-22.0722222222222,-7.19444444444444,43.88,-114.67,7470,489
20170105,0,190.5,0,-27.7944444444444,-7.76666666666667,43.88,-114.67,7470,489
20170106,0,190.5,0,-27.2222222222222,-5.47777777777778,43.88,-114.67,7470,489
20170107,12.7,190.5,0,-27.2222222222222,-7.19444444444444,43.88,-114.67,7470,489
20170108,33.02,203.2,0,-9.48333333333333,-2.04444444444444,43.88,-114.67,7470,489
20170109,15.24,236.22,0,-9.48333333333333,-0.900000000000001,43.88,-114.67,7470,489
20170110,27.94,251.46,0,-9.48333333333333,-5.47777777777778,43.88,-114.67,7470,489
20170111,7.62,279.4,0,-16.9222222222222,-0.327777777777778,43.88,-114.67,7470,489
20170112,0,287.02,0,-23.7888888888889,-0.900000000000001,43.88,-114.67,7470,489
20170113,0,287.02,0,-23.7888888888889,-0.900000000000001,43.88,-114.67,7470,489
20170114,0,287.02,0,-22.6444444444444,0.244444444444443,43.88,-114.67,7470,489
20170115,0,287.02,0,-21.5,1.38888888888889,43.88,-114.67,7470,489
20170116,0,287.02,0,-17.4944444444444,3.10555555555556,43.88,-114.67,7470,489
20170117,0,287.02,0,-14.6333333333333,1.96111111111111,43.88,-114.67,7470,489
20170118,15.24,287.02,0,-12.9166666666667,-0.900000000000001,43.88,-114.67,7470,489
20170119,10.16,302.26,0,-6.05,-1.47222222222222,43.88,-114.67,7470,489
20170120,2.54,312.42,0,-7.76666666666667,-3.76111111111111,43.88,-114.67,7470,489
20170121,0,314.96,0,-11.7722222222222,-1.47222222222222,43.88,-114.67,7470,489
20170122,10.16,314.96,0,-10.0555555555556,-4.33333333333333,43.88,-114.67,7470,489
20170123,0,325.12,0,-9.48333333333333,-4.33333333333333,43.88,-114.67,7470,489
20170124,0,325.12,0,-16.9222222222222,-4.33333333333333,43.88,-114.67,7470,489
20170125,0,325.12,0,-23.7888888888889,-6.62222222222222,43.88,-114.67,7470,489
20170126,0,325.12,0,-20.9277777777778,-5.47777777777778,43.88,-114.67,7470,489
20170127,0,325.12,0,-21.5,4.82222222222222,43.88,-114.67,7470,489
20170128,0,325.12,0,-13.4888888888889,7.68333333333333,43.88,-114.67,7470,489
20170129,0,325.12,0,-11.2,7.11111111111111,43.88,-114.67,7470,489
20170130,0,325.12,0,-11.7722222222222,6.53888888888889,43.88,-114.67,7470,489
20170131,5.08,325.12,0,-3.76111111111111,1.38888888888889,43.88,-114.67,7470,489
20170201,2.54,330.2,0,-9.48333333333333,0.244444444444443,43.88,-114.67,7470,489
20170202,2.54,332.74,0,-10.6277777777778,0.816666666666666,43.88,-114.67,7470,489
20170203,17.78,335.28,0,-7.19444444444444,-0.327777777777778,43.88,-114.67,7470,489
20170204,17.78,353.06,0,-3.18888888888889,1.38888888888889,43.88,-114.67,7470,489
20170205,10.16,370.84,0,-3.18888888888889,0.816666666666666,43.88,-114.67,7470,489
20170206,25.4,381,0,-5.47777777777778,0.244444444444443,43.88,-114.67,7470,489
20170207,25.4,406.4,0,-7.19444444444444,-0.327777777777778,43.88,-114.67,7470,489
20170208,12.7,431.8,0,-4.33333333333333,3.10555555555556,43.88,-114.67,7470,489
20170209,43.18,444.5,0,-2.04444444444444,0.816666666666666,43.88,-114.67,7470,489
20170210,10.16,487.68,0,-6.05,3.10555555555556,43.88,-114.67,7470,489
20170211,0,497.84,0,-18.0666666666667,3.10555555555556,43.88,-114.67,7470,489
20170212,0,497.84,0,-19.2111111111111,8.25555555555556,43.88,-114.67,7470,489
20170213,2.54,497.84,0,-14.0611111111111,10.5444444444444,43.88,-114.67,7470,489
20170214,0,500.38,0,-12.3444444444444,12.8333333333333,43.88,-114.67,7470,489
20170215,0,500.38,0,-11.7722222222222,10.5444444444444,43.88,-114.67,7470,489
20170216,15.24,500.38,0,-4.90555555555556,1.38888888888889,43.88,-114.67,7470,489
20170217,5.08,515.62,0,-11.7722222222222,3.67777777777778,43.88,-114.67,7470,489
20170218,20.32,520.7,0,-2.61666666666667,0.816666666666666,43.88,-114.67,7470,489
20170219,15.24,541.02,0,-4.90555555555556,0.816666666666666,43.88,-114.67,7470,489
20170220,30.48,556.26,0,-4.90555555555556,1.96111111111111,43.88,-114.67,7470,489
20170221,22.86,586.74,0,-7.19444444444444,-0.327777777777778,43.88,-114.67,7470,489
20170222,0,609.6,0,-16.35,2.53333333333333,43.88,-114.67,7470,489
20170223,2.54,609.6,0,-10.6277777777778,-3.18888888888889,43.88,-114.67,7470,489
20170224,0,612.14,0,-18.6388888888889,-2.61666666666667,43.88,-114.67,7470,489
20170225,0,612.14,0,-22.6444444444444,-2.61666666666667,43.88,-114.67,7470,489
20170226,0,612.14,0,-20.9277777777778,-6.05,43.88,-114.67,7470,489
20170227,2.54,612.14,0,-23.2166666666667,-0.900000000000001,43.88,-114.67,7470,489
20170228,2.54,614.68,0,-16.35,-2.04444444444444,43.88,-114.67,7470,489
20170301,0,617.22,0,-16.35,4.82222222222222,43.88,-114.67,7470,489
20170302,0,617.22,0,-17.4944444444444,6.53888888888889,43.88,-114.67,7470,489
20170303,5.08,617.22,0,-15.7777777777778,7.11111111111111,43.88,-114.67,7470,489
20170304,7.62,622.3,0,-7.76666666666667,2.53333333333333,43.88,-114.67,7470,489
20170305,7.62,629.92,0,-12.9166666666667,1.96111111111111,43.88,-114.67,7470,489
20170306,2.54,637.54,0,-16.9222222222222,-3.76111111111111,43.88,-114.67,7470,489
20170307,5.08,640.08,0,-11.2,1.96111111111111,43.88,-114.67,7470,489
20170308,10.16,645.16,0,-5.47777777777778,2.53333333333333,43.88,-114.67,7470,489
20170309,15.24,655.32,0,-1.47222222222222,7.68333333333333,43.88,-114.67,7470,489
20170310,0,670.56,0,-4.90555555555556,8.25555555555556,43.88,-114.67,7470,489
20170311,0,670.56,0,-10.6277777777778,8.25555555555556,43.88,-114.67,7470,489
20170312,0,670.56,0,-5.47777777777778,9.97222222222222,43.88,-114.67,7470,489
20170313,0,670.56,0,-8.33888888888889,13.9777777777778,43.88,-114.67,7470,489
20170314,0,670.56,0,-4.33333333333333,15.1222222222222,43.88,-114.67,7470,489
20170315,5.08,670.56,0,-6.05,14.55,43.88,-114.67,7470,489
20170316,12.7,675.64,0,-3.76111111111111,8.25555555555556,43.88,-114.67,7470,489
20170317,2.54,680.72,0,-3.18888888888889,13.4055555555556,43.88,-114.67,7470,489
20170318,0,680.72,0,-3.76111111111111,11.6888888888889,43.88,-114.67,7470,489
20170319,7.62,685.8,0,-0.327777777777778,4.82222222222222,43.88,-114.67,7470,489
20170320,0,690.88,0,-2.61666666666667,7.11111111111111,43.88,-114.67,7470,489
20170321,5.08,688.34,0,-3.18888888888889,9.97222222222222,43.88,-114.67,7470,489
20170322,2.54,690.88,0,-4.33333333333333,11.1166666666667,43.88,-114.67,7470,489
20170323,0,693.42,0,-8.91111111111111,8.82777777777778,43.88,-114.67,7470,489
