time,prec,swe,empty,tmin,tmax,lat,lon,siteID,data10
20170101,2.54,96.52,0,-11.2,3.10555555555556,38.85,-119.94,7742,508
20170102,5.08,99.06,0,-8.91111111111111,-5.47777777777778,38.85,-119.94,7742,508
20170103,20.32,101.6,0,-6.05,0.816666666666666,38.85,-119.94,7742,508
20170104,81.28,114.3,0,-1.47222222222222,0.816666666666666,38.85,-119.94,7742,508
20170105,15.24,190.5,0,-16.35,0.244444444444443,38.85,-119.94,7742,508
20170106,7.62,203.2,0,-18.6388888888889,2.53333333333333,38.85,-119.94,7742,508
20170107,20.32,208.28,0,-4.90555555555556,3.10555555555556,38.85,-119.94,7742,508
20170108,66.04,228.6,0,0.816666666666666,6.53888888888889,38.85,-119.94,7742,508
20170109,35.56,238.76,0,-4.90555555555556,1.38888888888889,38.85,-119.94,7742,508
20170110,66.04,274.32,0,-3.18888888888889,-0.327777777777778,38.85,-119.94,7742,508
20170111,20.32,340.36,0,-7.19444444444444,-2.04444444444444,38.85,-119.94,7742,508
20170112,2.54,360.68,0,-7.76666666666667,-3.18888888888889,38.85,-119.94,7742,508
20170113,0,363.22,0,-11.2,-2.61666666666667,38.85,-119.94,7742,508
20170114,0,363.22,0,-13.4888888888889,5.39444444444444,38.85,-119.94,7742,508
20170115,0,363.22,0,-13.4888888888889,7.11111111111111,38.85,-119.94,7742,508
20170116,0,363.22,0,-12.9166666666667,4.82222222222222,38.85,-119.94,7742,508
20170117,2.54,363.22,0,-10.0555555555556,8.82777777777778,38.85,-119.94,7742,508
20170118,25.4,365.76,0,-2.61666666666667,4.82222222222222,38.85,-119.94,7742,508
20170119,40.64,391.16,0,-6.05,-0.327777777777778,38.85,-119.94,7742,508
20170120,25.4,431.8,0,-6.62222222222222,-1.47222222222222,38.85,-119.94,7742,508
20170121,20.32,457.2,0,-7.19444444444444,-3.76111111111111,38.85,-119.94,7742,508
20170122,81.28,477.52,0,-7.76666666666667,0.244444444444443,38.85,-119.94,7742,508
20170123,25.4,558.8,0,-11.7722222222222,-0.327777777777778,38.85,-119.94,7742,508
20170124,0,584.2,0,-18.0666666666667,1.96111111111111,38.85,-119.94,7742,508
20170125,0,584.2,0,-18.6388888888889,0.816666666666666,38.85,-119.94,7742,508
20170126,0,584.2,0,-12.3444444444444,2.53333333333333,38.85,-119.94,7742,508
20170127,0,584.2,0,-16.9222222222222,3.67777777777778,38.85,-119.94,7742,508
20170128,0,584.2,0,-11.7722222222222,8.82777777777778,38.85,-119.94,7742,508
20170129,0,584.2,0,-10.0555555555556,9.97222222222222,38.85,-119.94,7742,508
20170130,0,584.2,0,-8.33888888888889,9.4,38.85,-119.94,7742,508
