time,prec,swe,empty,tmin,tmax,lat,lon,siteID,data10
20170101,7.62,254,0,-14.0611111111111,-0.900000000000001,41,-106.91,8950,859
20170102,15.24,261.62,0,-11.7722222222222,-4.33333333333333,41,-106.91,8950,859
20170103,7.62,276.86,0,-12.3444444444444,-7.19444444444444,41,-106.91,8950,859
20170104,50.8,284.48,0,-16.9222222222222,-3.18888888888889,41,-106.91,8950,859
20170105,0,335.28,0,-27.7944444444444,-14.0611111111111,41,-106.91,8950,859
20170106,0,335.28,0,-30.6555555555556,-12.3444444444444,41,-106.91,8950,859
20170107,2.54,335.28,0,-23.2166666666667,-5.47777777777778,41,-106.91,8950,859
20170108,33.02,337.82,0,-7.19444444444444,0.244444444444443,41,-106.91,8950,859
20170109,15.24,370.84,0,-6.62222222222222,1.38888888888889,41,-106.91,8950,859
20170110,5.08,386.08,0,-10.0555555555556,-3.18888888888889,41,-106.91,8950,859
20170111,38.1,391.16,0,-6.05,-3.18888888888889,41,-106.91,8950,859
20170112,15.24,429.26,0,-6.62222222222222,-2.61666666666667,41,-106.91,8950,859
20170113,12.7,444.5,0,-6.05,-0.900000000000001,41,-106.91,8950,859
20170114,0,457.2,0,-11.2,4.25,41,-106.91,8950,859
20170115,0,457.2,0,-10.6277777777778,3.10555555555556,41,-106.91,8950,859
20170116,0,457.2,0,-16.9222222222222,1.38888888888889,41,-106.91,8950,859
20170117,0,457.2,0,-16.9222222222222,3.10555555555556,41,-106.91,8950,859
20170118,2.54,447.04,0,-14.0611111111111,3.67777777777778,41,-106.91,8950,859
20170119,10.16,449.58,0,-13.4888888888889,0.816666666666666,41,-106.91,8950,859
20170120,5.08,459.74,0,-7.76666666666667,-4.90555555555556,41,-106.91,8950,859
20170121,0,464.82,0,-10.0555555555556,0.816666666666666,41,-106.91,8950,859
20170122,12.7,462.28,0,-10.0555555555556,-4.33333333333333,41,-106.91,8950,859
20170123,12.7,474.98,0,-7.19444444444444,-2.04444444444444,41,-106.91,8950,859
20170124,7.62,487.68,0,-22.0722222222222,-7.19444444444444,41,-106.91,8950,859
20170125,0,487.68,0,-23.2166666666667,-10.0555555555556,41,-106.91,8950,859
20170126,0,487.68,0,-25.5055555555556,-12.3444444444444,41,-106.91,8950,859
20170127,0,487.68,0,-24.9333333333333,-6.05,41,-106.91,8950,859
20170128,2.54,487.68,0,-22.6444444444444,-3.18888888888889,41,-106.91,8950,859
20170129,7.62,490.22,0,-16.35,1.38888888888889,41,-106.91,8950,859
20170130,7.62,497.84,0,-12.3444444444444,3.67777777777778,41,-106.91,8950,859
20170131,2.54,505.46,0,-10.6277777777778,3.67777777777778,41,-106.91,8950,859
20170201,0,508,0,-4.90555555555556,4.25,41,-106.91,8950,859
20170202,12.7,508,0,-4.90555555555556,-0.900000000000001,41,-106.91,8950,859
20170203,5.08,520.7,0,-6.62222222222222,1.96111111111111,41,-106.91,8950,859
20170204,5.08,525.78,0,-3.76111111111111,2.53333333333333,41,-106.91,8950,859
20170205,2.54,530.86,0,-2.61666666666667,4.82222222222222,41,-106.91,8950,859
20170206,0,533.4,0,-2.04444444444444,4.25,41,-106.91,8950,859
20170207,0,533.4,0,-1.47222222222222,1.38888888888889,41,-106.91,8950,859
20170208,0,533.4,0,-3.76111111111111,1.96111111111111,41,-106.91,8950,859
20170209,5.08,533.4,0,0.244444444444443,8.25555555555556,41,-106.91,8950,859
20170210,12.7,538.48,0,0.816666666666666,7.68333333333333,41,-106.91,8950,859
20170211,5.08,551.18,0,-10.6277777777778,0.816666666666666,41,-106.91,8950,859
20170212,0,556.26,0,-14.6333333333333,7.68333333333333,41,-106.91,8950,859
