time,prec,swe,empty,tmin,tmax,lat,lon,siteID,data10
20170101,2.54,175.26,0,-10.6277777777778,-5.47777777777778,44.45,-119.93,5850,440
20170102,0,177.8,0,-12.3444444444444,-6.05,44.45,-119.93,5850,440
20170103,5.08,177.8,0,-12.9166666666667,-6.05,44.45,-119.93,5850,440
20170104,10.16,182.88,0,-20.9277777777778,-11.7722222222222,44.45,-119.93,5850,440
20170105,2.54,193.04,0,-18.0666666666667,-2.61666666666667,44.45,-119.93,5850,440
20170106,0,195.58,0,-19.7833333333333,-7.19444444444444,44.45,-119.93,5850,440
20170107,15.24,195.58,0,-15.7777777777778,-2.61666666666667,44.45,-119.93,5850,440
20170108,22.86,210.82,0,-2.61666666666667,1.38888888888889,44.45,-119.93,5850,440
20170109,10.16,233.68,0,-6.62222222222222,0.244444444444443,44.45,-119.93,5850,440
20170110,20.32,243.84,0,-4.90555555555556,-0.327777777777778,44.45,-119.93,5850,440
20170111,5.08,264.16,0,-10.6277777777778,-0.900000000000001,44.45,-119.93,5850,440
20170112,2.54,269.24,0,-11.2,0.816666666666666,44.45,-119.93,5850,440
20170113,0,271.78,0,-12.3444444444444,5.39444444444444,44.45,-119.93,5850,440
20170114,0,271.78,0,-11.2,5.39444444444444,44.45,-119.93,5850,440
20170115,0,271.78,0,-9.48333333333333,3.10555555555556,44.45,-119.93,5850,440
20170116,0,271.78,0,-7.19444444444444,5.96666666666667,44.45,-119.93,5850,440
20170117,2.54,271.78,0,-6.62222222222222,0.816666666666666,44.45,-119.93,5850,440
20170118,25.4,274.32,0,-2.61666666666667,0.244444444444443,44.45,-119.93,5850,440
20170119,2.54,299.72,0,-5.47777777777778,0.816666666666666,44.45,-119.93,5850,440
20170120,22.86,302.26,0,-4.90555555555556,-1.47222222222222,44.45,-119.93,5850,440
20170121,0,325.12,0,-5.47777777777778,-0.900000000000001,44.45,-119.93,5850,440
20170122,12.7,325.12,0,-9.48333333333333,1.38888888888889,44.45,-119.93,5850,440
20170123,2.54,337.82,0,-8.33888888888889,-2.04444444444444,44.45,-119.93,5850,440
20170124,0,340.36,0,-9.48333333333333,-0.327777777777778,44.45,-119.93,5850,440
20170125,10.16,340.36,0,-6.62222222222222,-1.47222222222222,44.45,-119.93,5850,440
20170126,2.54,350.52,0,-9.48333333333333,-1.47222222222222,44.45,-119.93,5850,440
20170127,0,353.06,0,-10.6277777777778,2.53333333333333,44.45,-119.93,5850,440
20170128,5.08,353.06,0,-10.0555555555556,5.96666666666667,44.45,-119.93,5850,440
20170129,2.54,353.06,0,-6.05,0.244444444444443,44.45,-119.93,5850,440
