latitude,longitude,elev,site_id,date,temperature_max,temperature_min,precipitation
47.28,-120.49,5390,582,20170101,-6.05000019073486,-10.0555553436279,7.61999988555908
47.28,-120.49,5390,582,20170102,-7.76666688919067,-10.0555553436279,12.6999998092651
47.28,-120.49,5390,582,20170103,-4.90555572509766,-8.33888912200928,55.8800010681152
47.28,-120.49,5390,582,20170104,-3.18888878822327,-11.1999998092651,5.07999992370605
47.28,-120.49,5390,582,20170105,-10.0555553436279,-12.3444442749023,2.53999996185303
47.28,-120.49,5390,582,20170106,-4.33333349227905,-10.6277780532837,0
47.28,-120.49,5390,582,20170107,0.816666662693024,-6.62222242355347,33.0200004577637
47.28,-120.49,5390,582,20170108,3.10555553436279,-2.04444456100464,48.2599983215332
47.28,-120.49,5390,582,20170109,-2.04444456100464,-6.62222242355347,40.6399993896484
47.28,-120.49,5390,582,20170110,0.244444444775581,-2.61666655540466,60.9599990844727
47.28,-120.49,5390,582,20170111,-2.61666655540466,-8.91111087799072,12.6999998092651
47.28,-120.49,5390,582,20170112,-4.33333349227905,-8.91111087799072,5.07999992370605
47.28,-120.49,5390,582,20170113,-2.61666655540466,-7.19444465637207,0
47.28,-120.49,5390,582,20170114,-0.899999976158142,-4.90555572509766,0
47.28,-120.49,5390,582,20170115,0.816666662693024,-3.76111102104187,0
47.28,-120.49,5390,582,20170116,4.8222222328186,-1.47222220897675,0
47.28,-120.49,5390,582,20170117,5.96666669845581,-0.327777773141861,10.1599998474121
47.28,-120.49,5390,582,20170118,0.244444444775581,-3.18888878822327,58.4199981689453
47.28,-120.49,5390,582,20170119,-1.47222220897675,-3.76111102104187,33.0200004577637
47.28,-120.49,5390,582,20170120,-2.04444456100464,-3.76111102104187,27.9400005340576
47.28,-120.49,5390,582,20170121,-2.04444456100464,-4.33333349227905,22.8600006103516
47.28,-120.49,5390,582,20170122,-3.18888878822327,-6.62222242355347,22.8600006103516
47.28,-120.49,5390,582,20170123,-3.76111102104187,-7.76666688919067,0
47.28,-120.49,5390,582,20170124,-5.47777795791626,-7.76666688919067,0
47.28,-120.49,5390,582,20170125,-3.18888878822327,-7.19444465637207,0
47.28,-120.49,5390,582,20170126,-0.899999976158142,-6.05000019073486,0
47.28,-120.49,5390,582,20170127,0.244444444775581,-4.90555572509766,0
47.28,-120.49,5390,582,20170128,1.38888883590698,-2.04444456100464,0
47.28,-120.49,5390,582,20170129,4.8222222328186,-0.327777773141861,0
47.28,-120.49,5390,582,20170130,7.68333339691162,1.38888883590698,0
47.28,-120.49,5390,582,20170131,6.53888893127441,0.244444444775581,0
47.28,-120.49,5390,582,20170201,3.10555553436279,-0.899999976158142,0
47.28,-120.49,5390,582,20170202,2.53333330154419,-1.47222220897675,0
47.28,-120.49,5390,582,20170203,1.96111106872559,-0.899999976158142,25.3999996185303
47.28,-120.49,5390,582,20170204,0.244444444775581,-1.47222220897675,20.3199996948242
47.28,-120.49,5390,582,20170205,0.816666662693024,-2.04444456100464,17.7800006866455
47.28,-120.49,5390,582,20170206,-0.327777773141861,-4.33333349227905,12.6999998092651
47.28,-120.49,5390,582,20170207,3.10555553436279,-2.61666655540466,30.4799995422363
47.28,-120.49,5390,582,20170208,4.8222222328186,-0.327777773141861,48.2599983215332
47.28,-120.49,5390,582,20170209,4.25,-0.899999976158142,60.9599990844727
47.28,-120.49,5390,582,20170210,-0.327777773141861,-4.33333349227905,5.07999992370605
47.28,-120.49,5390,582,20170211,-0.899999976158142,-7.76666688919067,0
47.28,-120.49,5390,582,20170212,5.39444446563721,-3.76111102104187,5.07999992370605
47.28,-120.49,5390,582,20170213,8.82777786254883,1.38888883590698,0
47.28,-120.49,5390,582,20170214,9.39999961853027,1.38888883590698,0
47.28,-120.49,5390,582,20170215,6.53888893127441,0.244444444775581,12.6999998092651
47.28,-120.49,5390,582,20170216,0.816666662693024,-2.04444456100464,50.7999992370605
47.28,-120.49,5390,582,20170217,-0.327777773141861,-2.61666655540466,15.2399997711182
47.28,-120.49,5390,582,20170218,2.51271486282349,-3.33453297615051,15.2399997711182
47.28,-120.49,5390,582,20170219,-0.317309767007828,-3.17563247680664,30.4799995422363
47.28,-120.49,5390,582,20170220,1.38888883590698,-1.47222220897675,43.1800003051758
47.28,-120.49,5390,582,20170221,-0.899999976158142,-4.90555572509766,22.8600006103516
47.28,-120.49,5390,582,20170222,-3.18888878822327,-7.76666688919067,25.3999996185303
47.28,-120.49,5390,582,20170223,-5.47777795791626,-10.0555553436279,2.53999996185303
47.28,-120.49,5390,582,20170224,-3.18888878822327,-12.3444442749023,5.07999992370605
47.28,-120.49,5390,582,20170225,-2.04444456100464,-9.48333358764648,0
47.28,-120.49,5390,582,20170226,-3.76111102104187,-10.0555553436279,10.1599998474121
47.28,-120.49,5390,582,20170227,-3.18888878822327,-8.91111087799072,7.61999988555908
47.28,-120.49,5390,582,20170228,-2.61666655540466,-6.62222242355347,0
47.28,-120.49,5390,582,20170301,4.25,-6.62222242355347,2.53999996185303
47.28,-120.49,5390,582,20170302,3.10555553436279,-3.18888878822327,0
47.28,-120.49,5390,582,20170303,3.6777777671814,-2.04444456100464,5.07999992370605
47.28,-120.49,5390,582,20170304,-0.327777773141861,-7.19444465637207,10.1599998474121
47.28,-120.49,5390,582,20170305,-6.05000019073486,-10.0555553436279,5.07999992370605
47.28,-120.49,5390,582,20170306,-3.18888878822327,-8.33888912200928,7.61999988555908
47.28,-120.49,5390,582,20170307,1.38888883590698,-3.18888878822327,5.07999992370605
47.28,-120.49,5390,582,20170308,4.8222222328186,0.244444444775581,10.1599998474121
47.28,-120.49,5390,582,20170309,6.53888893127441,1.96111106872559,0
47.28,-120.49,5390,582,20170310,7.68333339691162,1.96111106872559,0
47.28,-120.49,5390,582,20170311,7.68333339691162,-0.327777773141861,0
47.28,-120.49,5390,582,20170312,9.39999961853027,0.244444444775581,0
47.28,-120.49,5390,582,20170313,10.5444440841675,1.96111106872559,0
47.28,-120.49,5390,582,20170314,11.1166667938232,4.25,0
47.28,-120.49,5390,582,20170315,7.68333339691162,1.38888883590698,7.61999988555908
47.28,-120.49,5390,582,20170316,4.8222222328186,-1.47222220897675,0
47.28,-120.49,5390,582,20170317,7.11111116409302,3.10555553436279,10.1599998474121
47.28,-120.49,5390,582,20170318,4.8222222328186,1.96111106872559,35.560001373291
47.28,-120.49,5390,582,20170319,5.96666669845581,1.38888883590698,7.61999988555908
47.28,-120.49,5390,582,20170320,6.53888893127441,1.38888883590698,2.53999996185303
47.28,-120.49,5390,582,20170321,2.53333330154419,-0.327777773141861,12.6999998092651
47.28,-120.49,5390,582,20170322,2.53333330154419,-3.18888878822327,10.1599998474121
47.28,-120.49,5390,582,20170323,1.96111106872559,-5.47777795791626,5.07999992370605
47.28,-120.49,5390,582,20170324,0.244444444775581,-2.61666655540466,38.0999984741211
47.28,-120.49,5390,582,20170325,1.96111106872559,-3.18888878822327,0
47.28,-120.49,5390,582,20170326,0.816666662693024,-3.18888878822327,7.61999988555908
47.28,-120.49,5390,582,20170327,0.244444444775581,-3.76111102104187,2.53999996185303
47.28,-120.49,5390,582,20170328,3.10555553436279,-3.18888878822327,2.53999996185303
47.28,-120.49,5390,582,20170329,7.11111116409302,0.244444444775581,25.3999996185303
47.28,-120.49,5390,582,20170330,0.244444444775581,-4.33333349227905,2.53999996185303
47.28,-120.49,5390,582,20170331,3.10555553436279,-5.47777795791626,0
47.28,-120.49,5390,582,20170401,9.97222232818604,1.38888883590698,0
47.28,-120.49,5390,582,20170402,3.6777777671814,-3.18888878822327,0
47.28,-120.49,5390,582,20170403,6.53888893127441,-5.47777795791626,0
47.28,-120.49,5390,582,20170404,8.82777786254883,1.38888883590698,0
47.28,-120.49,5390,582,20170405,7.68333339691162,0.244444444775581,0
47.28,-120.49,5390,582,20170406,1.96111106872559,-1.47222220897675,25.3999996185303
47.28,-120.49,5390,582,20170407,-0.327777773141861,-4.90555572509766,25.3999996185303
47.28,-120.49,5390,582,20170408,-1.47222220897675,-7.76666688919067,5.07999992370605
47.28,-120.49,5390,582,20170409,0.816666662693024,-6.62222242355347,7.61999988555908
47.28,-120.49,5390,582,20170410,1.96111106872559,-5.47777795791626,2.53999996185303
47.28,-120.49,5390,582,20170411,1.96111106872559,-1.47222220897675,7.61999988555908
47.28,-120.49,5390,582,20170412,2.53333330154419,-3.18888878822327,7.61999988555908
47.28,-120.49,5390,582,20170413,2.53333330154419,-6.05000019073486,7.61999988555908
47.28,-120.49,5390,582,20170414,-0.327777773141861,-6.62222242355347,5.07999992370605
47.28,-120.49,5390,582,20170415,4.8222222328186,-5.47777795791626,2.53999996185303
47.28,-120.49,5390,582,20170416,5.39444446563721,-0.899999976158142,5.07999992370605
47.28,-120.49,5390,582,20170417,3.10555553436279,-1.47222220897675,12.6999998092651
47.28,-120.49,5390,582,20170418,4.25,0.244444444775581,2.53999996185303
47.28,-120.49,5390,582,20170419,5.39444446563721,-1.47222220897675,5.07999992370605
47.28,-120.49,5390,582,20170420,3.6777777671814,-3.18888878822327,10.1599998474121
47.28,-120.49,5390,582,20170421,9.97222232818604,-2.04444456100464,0
47.28,-120.49,5390,582,20170422,7.11111116409302,-0.327777773141861,0
47.28,-120.49,5390,582,20170423,5.96666669845581,-2.04444456100464,0
47.28,-120.49,5390,582,20170424,3.6777777671814,-2.04444456100464,5.07999992370605
47.28,-120.49,5390,582,20170425,4.8222222328186,-2.61666655540466,0
47.28,-120.49,5390,582,20170426,4.8222222328186,-2.04444456100464,17.7800006866455
47.28,-120.49,5390,582,20170427,0.816666662693024,-4.33333349227905,0
47.28,-120.49,5390,582,20170428,3.6777777671814,-5.47777795791626,0
47.28,-120.49,5390,582,20170429,9.97222232818604,-0.327777773141861,0
47.28,-120.49,5390,582,20170430,6.53888893127441,0.816666662693024,0
47.28,-120.49,5390,582,20170501,12.8333330154419,1.38888883590698,0
47.28,-120.49,5390,582,20170502,10.5444440841675,3.6777777671814,0
47.28,-120.49,5390,582,20170503,16.2666664123535,4.8222222328186,0
47.28,-120.49,5390,582,20170504,17.411111831665,4.25,5.07999992370605
47.28,-120.49,5390,582,20170505,6.53888893127441,-2.61666655540466,5.07999992370605
47.28,-120.49,5390,582,20170506,0.816666662693024,-4.33333349227905,2.53999996185303
47.28,-120.49,5390,582,20170507,7.11111116409302,-4.90555572509766,2.53999996185303
47.28,-120.49,5390,582,20170508,10.5444440841675,1.38888883590698,0
47.28,-120.49,5390,582,20170509,13.4055557250977,3.10555553436279,0
47.28,-120.49,5390,582,20170510,15.1222219467163,5.39444446563721,0
47.28,-120.49,5390,582,20170511,7.11111116409302,-2.61666655540466,0
47.28,-120.49,5390,582,20170512,2.53333330154419,-3.18888878822327,5.07999992370605
47.28,-120.49,5390,582,20170513,2.53333330154419,-3.18888878822327,2.53999996185303
47.28,-120.49,5390,582,20170514,1.96111106872559,-3.76111102104187,0
47.28,-120.49,5390,582,20170515,5.96666669845581,-2.61666655540466,0
47.28,-120.49,5390,582,20170516,2.53333330154419,-2.61666655540466,12.6999998092651
47.28,-120.49,5390,582,20170517,3.6777777671814,-4.33333349227905,0
47.28,-120.49,5390,582,20170518,9.97222232818604,0.244444444775581,0
47.28,-120.49,5390,582,20170519,13.9777774810791,4.8222222328186,0
47.28,-120.49,5390,582,20170520,12.8333330154419,4.8222222328186,0
47.28,-120.49,5390,582,20170521,16.2666664123535,5.39444446563721,0
47.28,-120.49,5390,582,20170522,19.7000007629395,7.68333339691162,0
47.28,-120.49,5390,582,20170523,21.4166660308838,8.25555515289307,0
47.28,-120.49,5390,582,20170524,12.8333330154419,0.816666662693024,0
47.28,-120.49,5390,582,20170525,11.6888885498047,1.96111106872559,0
47.28,-120.49,5390,582,20170526,13.9777774810791,4.8222222328186,0
47.28,-120.49,5390,582,20170527,16.2666664123535,5.96666669845581,0
47.28,-120.49,5390,582,20170528,18.5555553436279,8.25555515289307,0
47.28,-120.49,5390,582,20170529,19.7000007629395,8.25555515289307,0
47.28,-120.49,5390,582,20170530,14.5500001907349,4.8222222328186,0
47.28,-120.49,5390,582,20170531,11.1166667938232,3.6777777671814,0
47.28,-120.49,5390,582,20170601,11.6888885498047,3.6777777671814,0
47.28,-120.49,5390,582,20170602,15.6944446563721,4.25,0
47.28,-120.49,5390,582,20170603,15.6944446563721,4.25,0
47.28,-120.49,5390,582,20170604,9.39999961853027,2.53333330154419,0
47.28,-120.49,5390,582,20170605,15.1222219467163,3.6777777671814,0
47.28,-120.49,5390,582,20170606,17.9833335876465,7.68333339691162,0
47.28,-120.49,5390,582,20170607,14.5500001907349,5.39444446563721,0
47.28,-120.49,5390,582,20170608,7.68333339691162,0.816666662693024,33.0200004577637
47.28,-120.49,5390,582,20170609,7.11111116409302,-0.327777773141861,0
47.28,-120.49,5390,582,20170610,3.6777777671814,-1.47222220897675,15.2399997711182
47.28,-120.49,5390,582,20170611,1.38888883590698,-2.04444456100464,25.3999996185303
47.28,-120.49,5390,582,20170612,3.6777777671814,0.244444444775581,0
47.28,-120.49,5390,582,20170613,9.39999961853027,-0.327777773141861,0
47.28,-120.49,5390,582,20170614,12.8333330154419,3.6777777671814,0
47.28,-120.49,5390,582,20170615,13.4055557250977,5.96666669845581,0
47.28,-120.49,5390,582,20170616,12.8333330154419,5.39444446563721,0
47.28,-120.49,5390,582,20170617,15.6944446563721,5.96666669845581,0
47.28,-120.49,5390,582,20170618,20.2722225189209,9.97222232818604,0
47.28,-120.49,5390,582,20170619,23.7055549621582,11.6888885498047,0
47.28,-120.49,5390,582,20170620,19.1277770996094,9.39999961853027,0
47.28,-120.49,5390,582,20170621,17.9833335876465,9.39999961853027,0
47.28,-120.49,5390,582,20170622,21.4166660308838,9.97222232818604,0
47.28,-120.49,5390,582,20170623,23.7055549621582,12.2611112594604,0
47.28,-120.49,5390,582,20170624,27.1388893127441,14.5500001907349,0
47.28,-120.49,5390,582,20170625,26.5666675567627,12.8333330154419,0
47.28,-120.49,5390,582,20170626,20.8444442749023,9.97222232818604,0
47.28,-120.49,5390,582,20170627,17.411111831665,9.39999961853027,0
47.28,-120.49,5390,582,20170628,16.2666664123535,7.11111116409302,0
47.28,-120.49,5390,582,20170629,18.5555553436279,8.82777786254883,0
47.28,-120.49,5390,582,20170630,20.2722225189209,9.97222232818604,0
47.28,-120.49,5390,582,20170701,16.838888168335,9.39999961853027,0
47.28,-120.49,5390,582,20170702,20.8444442749023,11.1166667938232,0
47.28,-120.49,5390,582,20170703,20.8444442749023,11.1166667938232,0
47.28,-120.49,5390,582,20170704,22.5611114501953,12.2611112594604,0
47.28,-120.49,5390,582,20170705,23.1333332061768,11.6888885498047,0
47.28,-120.49,5390,582,20170706,24.2777786254883,11.6888885498047,0
47.28,-120.49,5390,582,20170707,21.4166660308838,13.4055557250977,0
47.28,-120.49,5390,582,20170708,23.7055549621582,12.8333330154419,0
47.28,-120.49,5390,582,20170709,19.1277770996094,11.1166667938232,0
47.28,-120.49,5390,582,20170710,18.5555553436279,9.97222232818604,0
47.28,-120.49,5390,582,20170711,18.5555553436279,8.25555515289307,0
47.28,-120.49,5390,582,20170712,20.2722225189209,11.6888885498047,0
47.28,-120.49,5390,582,20170713,20.2722225189209,11.1166667938232,0
47.28,-120.49,5390,582,20170714,21.9888896942139,12.2611112594604,0
47.28,-120.49,5390,582,20170715,19.1277770996094,11.1166667938232,0
47.28,-120.49,5390,582,20170716,17.411111831665,8.25555515289307,0
47.28,-120.49,5390,582,20170717,17.9833335876465,9.97222232818604,0
47.28,-120.49,5390,582,20170718,19.7000007629395,8.82777786254883,0
47.28,-120.49,5390,582,20170719,16.838888168335,7.68333339691162,0
