58.19,-133.83,850
59.74,-151.25,1320
37.61,-105.37,10650
40.36,-116.86,7400
46.91,-110.85,7410
46.93,-110.9,6550
42.64,-120.95,6180
48.82,-121.93,4970
46.16,-122.18,4440
41.79,-111.55,7406
39.8,-106.03,8940
41.4,-107.26,7850
44.79,-116.09,4890
36.03,-106.81,9306
40.35,-106.38,10960
40.4,-105.96,10280
40.71,-106.01,9020
40.79,-106.6,9340
33.4,-105.79,10280
61.38,-149,2100
40.28,-111.61,7774
39.6,-106.54,9480
39.6,-106.51,8500
40.2,-105.6,9560
48.86,-118.4,4680
43.23,-122.43,3240
41.23,-105.38,8330
41.24,-106.23,9574
41.07,-106.94,8915
33.01,-107.87,9240
38.68,-119.96,8017
38.84,-119.89,8557
38.72,-119.89,8129
38.4,-119.54,9313
48.72,-116.46,3520
40.99,-111.82,6779
61.19,-145.65,1750
41.36,-111.49,8215
38.88,-105.07,11460
37.47,-106.54,11620
38.16,-106.6,10020
37.5,-108.11,10720
40.06,-107.01,9080
59.86,-151.32,1653
37.5,-113.94,6763
37.4,-113.46,8322
47.16,-121.42,4640
47.2,-121.78,3900
61.11,-149.67,2080
60.55,-145.75,1405
42.41,-121.68,6830
42.79,-121.98,5400
45.98,-117.95,5580
48.93,-121.2,5830
47.86,-117.04,4210
43.78,-110.93,9260
36.13,-105.53,8600
45.25,-123.28,420
46.87,-121.53,5240
62.63,-150.78,850
61.79,-149.28,3550
60.19,-149.62,400
62.07,-142.05,3320
61.35,-142.71,1610
39.68,-110.43,8736
41.86,-111.51,8270
38.07,-112.17,9749
38.7,-106.37,10540
39.26,-106.63,10110
38.29,-105.85,10720
60.96,-149.09,1540
46.1,-121.96,2140
45.5,-110.08,6335
46.48,-110.71,7600
47.71,-123.46,4870
45.9,-122.22,2500
36.25,-115.63,7860
36.32,-115.7,8890
36.31,-115.68,8626
41.89,-111.57,6332
41.92,-111.47,7705
41.97,-111.6,7250
40.55,-110.35,8464
40.84,-110.01,10235
41.22,-111.36,6082
41.06,-106.71,9820
39.86,-106.42,10520
35.27,-111.74,7350
40.58,-105.63,9380
40.51,-105.77,9980
37.97,-106.56,11140
34.97,-111.51,8500
33.9,-109.16,8500
38.29,-106.37,11530
45.99,-120.81,5360
43.67,-109.38,8400
44.54,-107.18,8870
44.35,-107.01,8720
42.71,-109.41,9360
42.58,-109.09,9000
40.98,-110.85,8000
41.32,-116.34,7700
39.45,-115.98,7890
36.18,-108.95,9050
35.26,-112.06,7100
38.99,-106.75,10640
46.49,-115.8,3080
36.33,-109.06,9200
47.98,-114.35,5650
41.25,-111.41,7220
39.35,-112.33,7850
39.01,-114.31,10060
37.7,-112.65,8350
38.5,-111.77,8798
39.56,-114.63,7775
41.92,-113.41,8964
39.16,-114.61,10578
37.87,-109.45,8924
37.68,-112.86,10039
39.46,-114.65,7537
38.5,-112.01,9228
42.22,-122.37,4580
48.95,-118.99,5360
37.52,-107.32,10740
40.89,-105.66,8920
40.96,-110.58,8869
40.88,-110.54,9360
44.33,-122.09,4720
44.3,-122.04,3270
36.58,-105.46,11057
36.79,-105.24,10100
36.41,-105.33,9350
48.07,-120.85,2930
36.86,-106.23,9100
64.85,-147.8,450
67.93,-162.28,310
66.92,-151.53,640
38.79,-111.69,8396
37.79,-108.18,11580
39.87,-105.87,11150
40.04,-105.75,10620
37.88,-107.36,11100
64.79,-141.23,1050
40.84,-110.66,9632
41.49,-119,7615
40.88,-117.59,6616
41.38,-106.35,10500
37.75,-112.78,8692
34.86,-111.61,6393
40.46,-112.25,6520
38.48,-109.29,8783
39.61,-111.3,9652
39.5,-111.73,7206
39.32,-111.49,8801
39.3,-111.45,9858
39.3,-111.45,9858
40.19,-111.36,7377
39.14,-111.51,9524
40.67,-111.22,8532
39.24,-111.52,8787
39.42,-111.25,8596
39.13,-111.35,9327
45.99,-120.68,3960
39.66,-110.38,8207
39.25,-119.88,6493
40.86,-115.22,6555
40.86,-115.12,7760
39.74,-113.98,9122
37.6,-112.92,8050
38.05,-111.34,10018
40.14,-105.59,9620
36.07,-105.63,10664
48.19,-118.46,4390
46.64,-121.83,3770
41.99,-120.72,5680
48.59,-119.87,4470
38.08,-110.77,9410
41.58,-115.93,6798
46.32,-121.94,4440
60.98,-153.92,1275
61.75,-150.89,160
63.2,-145.63,3000
43.29,-116.85,5600
41.24,-120.79,6190
45.21,-117.19,7400
37.33,-105.07,10000
45.19,-119.25,5770
43.76,-115.24,7580
48.13,-113.02,6900
34.46,-111.41,7300
44.8,-107.84,9380
33.98,-109.5,9125
48.57,-115.45,5600
44.3,-115.23,7040
46.1,-113.13,8250
43.95,-110.45,7060
45.8,-112.52,7180
36.51,-106.32,9300
41.05,-107.27,7440
44.47,-112.98,8850
44.95,-116.14,5350
43.74,-113.94,7900
41.83,-115.45,8040
40.31,-105.64,9500
48.31,-116.07,5400
44.61,-116.98,6180
43.89,-107.06,8200
44.94,-109.57,9360
37.71,-107.51,11600
44.95,-111.36,7850
39.14,-111.56,7990
40.61,-111.1,8280
45.15,-118.22,5150
41.38,-111.94,7689
41.38,-111.92,5972
39.32,-114.62,9377
39.8,-105.78,11300
41.76,-115.69,6898
39.29,-117.11,8685
44.63,-115.79,6560
38.3,-112.36,10349
39.46,-119.94,8235
42.05,-122.85,6050
42.65,-109.26,9080
42.08,-123.34,5130
42.41,-122.27,5280
39.76,-107.36,10880
47.68,-114,4920
44.51,-111.13,8170
38.68,-111.6,9414
46.41,-113.43,7210
44.38,-109.79,9780
45.43,-121.86,3650
47.35,-120.68,4240
42.96,-110.61,8650
44.11,-103.98,6890
45.17,-113.5,7600
38.61,-119.92,8067
44.25,-118.52,5870
44.68,-107.58,9350
42.16,-114.19,7500
46.56,-111.29,7950
44.83,-118.19,5850
45.36,-118.47,4530
45.27,-110.25,6670
38.51,-112.02,9853
45.89,-110.94,7320
40.6,-111.58,8766
41.36,-106.23,10240
40.58,-110.59,10574
39.09,-106.54,10600
45.04,-116.13,6250
39.13,-111.44,9409
41.75,-117.53,6930
41.68,-111.42,7987
46.81,-121.33,4610
48.69,-117.18,5000
44.79,-107.53,7880
39.88,-107.6,9400
43.7,-109.67,8750
38.89,-106.95,10160
45.88,-113.33,6430
43.27,-115.35,5710
37.81,-109.49,8858
44.72,-110.51,7870
44.96,-111.29,9000
37.65,-107.81,8880
37.66,-107.8,8920
43.59,-122.06,5100
42.73,-106.32,7900
37.66,-112.74,9607
41.58,-120.3,7030
40.85,-111.05,9171
40.89,-111.07,8208
36.96,-106.66,8400
43.23,-121.81,4850
40.77,-110.01,10499
45.1,-121.75,3400
39.87,-111.28,8975
39.89,-111.25,7837
45.19,-121.69,3810
44.4,-107.06,9860
45.02,-111.85,8600
43.28,-109.45,9630
42.53,-122.18,5940
45.19,-109.35,7850
40.39,-106.6,9160
38.42,-108.38,9400
46.47,-113.39,5600
46.76,-115.3,6280
40.21,-105.57,8600
47.06,-112.6,5200
47.08,-112.73,6950
39.49,-106.17,10550
33.8,-109.15,8400
47.02,-121.46,5800
42.65,-110.81,7670
47.28,-121.67,3200
45.19,-118.55,4830
44.29,-115.66,5400
44.44,-111.99,6900
46.56,-115.29,5960
40.17,-107.06,9100
46.79,-109.51,6050
39.33,-120.37,6894
37.21,-105.2,10500
37.02,-106.45,10040
40.36,-111.09,7915
46.18,-113.85,5780
44.52,-122.09,3690
40.3,-111.26,8008
45.17,-113.58,8945
46.79,-110.68,6450
40.81,-105.77,10220
44.54,-115.56,6860
44.45,-119.93,5850
43.19,-122.14,5280
