latitude,longitude,elev,site_id,date,temperature_max,temperature_min,precipitation
39.01,-114.31,10060,1147,20170101,-4.80000019073486,-8.69999980926514,0
39.01,-114.31,10060,1147,20170102,-7.5,-10.1999998092651,0
39.01,-114.31,10060,1147,20170103,-5.69999980926514,-11.3999996185303,0
39.01,-114.31,10060,1147,20170104,-4.09999990463257,-7.59999990463257,20.2999992370605
39.01,-114.31,10060,1147,20170105,-4.19999980926514,-21.6000003814697,10.1999998092651
39.01,-114.31,10060,1147,20170106,-4,-18.6000003814697,5.09999990463257
39.01,-114.31,10060,1147,20170107,-2.5,-12,5.09999990463257
39.01,-114.31,10060,1147,20170108,-0.600000023841858,-3.5,0
39.01,-114.31,10060,1147,20170109,-2.40000009536743,-8.30000019073486,22.8999996185303
39.01,-114.31,10060,1147,20170110,-4.80000019073486,-8.89999961853027,0
39.01,-114.31,10060,1147,20170111,-4.59999990463257,-10.1000003814697,0
39.01,-114.31,10060,1147,20170112,-4.40000009536743,-9.69999980926514,12.6999998092651
39.01,-114.31,10060,1147,20170113,-0.100000001490116,-10.8999996185303,2.5
39.01,-114.31,10060,1147,20170114,-1.60000002384186,-10.8999996185303,0
39.01,-114.31,10060,1147,20170115,1.10000002384186,-12.3000001907349,0
39.01,-114.31,10060,1147,20170116,-3.90000009536743,-11.8999996185303,0
39.01,-114.31,10060,1147,20170117,2.59999990463257,-7.59999990463257,2.5
39.01,-114.31,10060,1147,20170118,4.59999990463257,-9,5.09999990463257
39.01,-114.31,10060,1147,20170119,-5.59999990463257,-11.3999996185303,17.7999992370605
39.01,-114.31,10060,1147,20170120,-7.09999990463257,-11.6000003814697,7.59999990463257
39.01,-114.31,10060,1147,20170121,-7.80000019073486,-11.8000001907349,0
39.01,-114.31,10060,1147,20170122,-6.09999990463257,-11,2.5
39.01,-114.31,10060,1147,20170123,-6.40000009536743,-16.2000007629395,17.7999992370605
39.01,-114.31,10060,1147,20170124,-11.8000001907349,-18.6000003814697,0
39.01,-114.31,10060,1147,20170125,-12,-18.1000003814697,0
39.01,-114.31,10060,1147,20170126,-9.85585308074951,-17.6390113830566,2.5
39.01,-114.31,10060,1147,20170127,-5.90000009536743,-16.7000007629395,2.5
39.01,-114.31,10060,1147,20170128,-0.300000011920929,-7,0
39.01,-114.31,10060,1147,20170129,3.70000004768372,-2.70000004768372,0
39.01,-114.31,10060,1147,20170130,5.5,-0.100000001490116,0
39.01,-114.31,10060,1147,20170131,2.70000004768372,-2.09999990463257,0
39.01,-114.31,10060,1147,20170201,1.89999997615814,-5.40000009536743,0
39.01,-114.31,10060,1147,20170202,-1.29999995231628,-5.5,0
39.01,-114.31,10060,1147,20170203,-2.90000009536743,-5.80000019073486,5.09999990463257
39.01,-114.31,10060,1147,20170204,-2.29999995231628,-5,0
39.01,-114.31,10060,1147,20170205,-0.400000005960464,-6.19999980926514,0
39.01,-114.31,10060,1147,20170206,-2.90000009536743,-6.30000019073486,0
39.01,-114.31,10060,1147,20170207,-0.400000005960464,-3.79999995231628,5.09999990463257
39.01,-114.31,10060,1147,20170208,1,-4.09999990463257,0
39.01,-114.31,10060,1147,20170209,1.29999995231628,-0.200000002980232,0
39.01,-114.31,10060,1147,20170210,0.100000001490116,-2.5,25.3999996185303
39.01,-114.31,10060,1147,20170211,-2.29999995231628,-9.80000019073486,12.6999998092651
39.01,-114.31,10060,1147,20170212,-2.70000004768372,-11.5,0
39.01,-114.31,10060,1147,20170213,0.100000001490116,-4.19999980926514,0
39.01,-114.31,10060,1147,20170214,1.79999995231628,-4.59999990463257,0
39.01,-114.31,10060,1147,20170215,6.69999980926514,-0.899999976158142,0
39.01,-114.31,10060,1147,20170216,1.5,-4.30000019073486,0
39.01,-114.31,10060,1147,20170217,-3.70000004768372,-5.80000019073486,10.1999998092651
39.01,-114.31,10060,1147,20170218,-1.60000002384186,-5.30000019073486,10.1999998092651
39.01,-114.31,10060,1147,20170219,0.800000011920929,-4.40000009536743,5.09999990463257
